湖北PLTV武汉移动多ip版.,#genre#
CCTV1 4M1080+576,http://39.135.253.70/PLTV/88888888/224/3221229984/index.m3u8
CCTV1 4M1080+576,http://39.135.253.8/PLTV/88888888/224/3221229984/index.m3u8
CCTV1 4M1080+576,http://39.135.253.9/PLTV/88888888/224/3221229984/index.m3u8
CCTV1 4M1080,http://39.135.253.10/PLTV/88888888/224/3221230131/index.m3u8
CCTV1 4M1080,http://39.135.253.11/PLTV/88888888/224/3221230131/index.m3u8
CCTV1 4M1080,http://39.135.253.12/PLTV/88888888/224/3221230131/index.m3u8
CCTV1 4M1080,http://39.135.253.13/PLTV/88888888/224/3221230131/index.m3u8
CCTV1 4M1080,http://39.135.253.14/PLTV/88888888/224/3221230131/index.m3u8
CCTV1 4M1080,http://39.135.253.17/PLTV/88888888/224/3221230131/index.m3u8
CCTV1 4M1080,http://39.135.253.18/PLTV/88888888/224/3221230131/index.m3u8
CCTV1 4M1080,http://39.135.253.19/PLTV/88888888/224/3221230131/index.m3u8
CCTV1 4M1080,http://39.135.253.20/PLTV/88888888/224/3221230131/index.m3u8
CCTV1 4M1080,http://39.135.253.21/PLTV/88888888/224/3221230131/index.m3u8
CCTV1 4M1080,http://39.135.253.22/PLTV/88888888/224/3221230131/index.m3u8
CCTV1 4M1080,http://39.135.253.23/PLTV/88888888/224/3221230131/index.m3u8
CCTV1 4M1080,http://39.135.253.24/PLTV/88888888/224/3221230131/index.m3u8
CCTV1 4M1080,http://39.135.253.25/PLTV/88888888/224/3221230131/index.m3u8
CCTV1 4M1080,http://39.135.253.26/PLTV/88888888/224/3221230131/index.m3u8
CCTV1 4M1080,http://39.135.253.27/PLTV/88888888/224/3221230131/index.m3u8
CCTV1 4M1080,http://39.135.253.28/PLTV/88888888/224/3221230131/index.m3u8
CCTV1 4M1080,http://39.135.253.29/PLTV/88888888/224/3221230131/index.m3u8
CCTV1 4M1080,http://39.135.253.30/PLTV/88888888/224/3221230131/index.m3u8
CCTV1 4M1080,http://39.135.253.31/PLTV/88888888/224/3221230131/index.m3u8
CCTV1 4M1080,http://39.135.253.32/PLTV/88888888/224/3221230131/index.m3u8
CCTV1 4M1080,http://39.135.253.33/PLTV/88888888/224/3221230131/index.m3u8
CCTV1 4M1080,http://39.135.253.34/PLTV/88888888/224/3221230131/index.m3u8
CCTV1 4M1080,http://39.135.253.35/PLTV/88888888/224/3221230056/index.m3u8
CCTV1 4M1080,http://39.135.253.35/PLTV/88888888/224/3221230131/index.m3u8
CCTV1 4M1080,http://39.135.253.36/PLTV/88888888/224/3221230056/index.m3u8
CCTV1 4M1080,http://39.135.253.36/PLTV/88888888/224/3221230131/index.m3u8
CCTV1 4M1080,http://39.135.253.37/PLTV/88888888/224/3221230131/index.m3u8
CCTV1 4M1080,http://39.135.253.38/PLTV/88888888/224/3221230131/index.m3u8
CCTV1 4M1080,http://39.135.253.39/PLTV/88888888/224/3221230131/index.m3u8
CCTV1 4M1080,http://39.135.253.40/PLTV/88888888/224/3221230131/index.m3u8
CCTV1 4M1080,http://39.135.253.41/PLTV/88888888/224/3221230131/index.m3u8
CCTV1 4M1080,http://39.135.253.42/PLTV/88888888/224/3221230131/index.m3u8
CCTV1 4M1080,http://39.135.253.43/PLTV/88888888/224/3221230131/index.m3u8
CCTV1 4M1080,http://39.135.253.44/PLTV/88888888/224/3221230131/index.m3u8
CCTV1 4M1080,http://39.135.253.45/PLTV/88888888/224/3221230131/index.m3u8
CCTV1 4M1080,http://39.135.253.46/PLTV/88888888/224/3221230131/index.m3u8
CCTV1 4M1080,http://39.135.253.47/PLTV/88888888/224/3221230131/index.m3u8
CCTV1 4M1080,http://39.135.253.48/PLTV/88888888/224/3221230131/index.m3u8
CCTV1 4M1080,http://39.135.253.5/PLTV/88888888/224/3221230131/index.m3u8
CCTV1 4M1080,http://39.135.253.51/PLTV/88888888/224/3221230131/index.m3u8
CCTV1 4M1080,http://39.135.253.52/PLTV/88888888/224/3221230131/index.m3u8
CCTV1 4M1080,http://39.135.253.53/PLTV/88888888/224/3221230131/index.m3u8
CCTV1 4M1080,http://39.135.253.54/PLTV/88888888/224/3221230131/index.m3u8
CCTV1 4M1080,http://39.135.253.55/PLTV/88888888/224/3221230131/index.m3u8
CCTV1 4M1080,http://39.135.253.56/PLTV/88888888/224/3221230131/index.m3u8
CCTV1 4M1080,http://39.135.253.57/PLTV/88888888/224/3221230131/index.m3u8
CCTV1 4M1080,http://39.135.253.58/PLTV/88888888/224/3221230131/index.m3u8
